VOLK (5. AKT);ZWEITER AUFWÄRTER;1
VITRY;VOLK (1. AKT);2
VITRY;ZEITUNGSAUSRUFER;1
VITRY;ZEITUNGSVERBREITER;1
VITRY;VOLK (2. AKT);1
VITRY;VOLK (3. AKT);1
VITRY;VORSTÄDTER;1
VITRY;ZWEITER OFFIZIER;1
VITRY;WIEDER EIN GARDIST;1
VITRY;ZWEITER ADJUTANT (4. AKT);1
CHASSECOEUR;VITRY;5
CHASSECOEUR;EIN POLIZEIBEAMTER;1
CHASSECOEUR;SAVOYARDENKNABE;3
CHASSECOEUR;VOLK (1. AKT);2
CHASSECOEUR;EIN GENSD'ARMES (1. AKT);1
CHASSECOEUR;EIN ALTER OFFIZIER IN ZIVILTRACHT;1
CHASSECOEUR;MARQUIS VON HAUTERIVE;1
CHASSECOEUR;HERR VON VILLENEUVE;1
CHASSECOEUR;DIE STUHLVERMIETERIN;1
CHASSECOEUR;ZEITUNGSAUSRUFER;1
CHASSECOEUR;EINE ALTE PUTZHÄNDLERIN;2
CHASSECOEUR;HERZOG VON ORLEANS;1
CHASSECOEUR;HERZOG VON BERRY;1
CHASSECOEUR;EINER AUS DEM GEFOLGE DES HERZOGS;1
CHASSECOEUR;EIN BÜRGER;1
CHASSECOEUR;EIN ANDERER BÜRGER;1
CHASSECOEUR;NAPOLEON;1
CHASSECOEUR;DIE DAMEN DER HALLE;1
CHASSECOEUR;EINE ANDERE DAME DER HALLE;1
CHASSECOEUR;LOUISE;1
CHASSECOEUR;ZEITUNGSVERBREITER;1
CHASSECOEUR;VOLK (2. AKT);1
CHASSECOEUR;EINE LINIENINFANTERIE-PATROUILLE;1
CHASSECOEUR;EIN GENSD'ARMES (2. AKT);1
CHASSECOEUR;FOUCHÉ;1
CHASSECOEUR;OFFIZIER (2. Akt);1
CHASSECOEUR;DER EMIGRANT;1
CHASSECOEUR;SCHNEIDERMEISTER;1
CHASSECOEUR;FRAU DES SCHNEIDERMEISTERS;1
CHASSECOEUR;EIN ÄLTLICHES FRAUENZIMMER;1
CHASSECOEUR;LEUTE VERSCHIEDENEN STANDES;1
CHASSECOEUR;VOLK (3. AKT);1
CHASSECOEUR;DER NEBENSTEHENDE;1
CHASSECOEUR;EINER AUS DER MASSE;1
CHASSECOEUR;EIN ANDERER;1
CHASSECOEUR;EIN NEBENSTEHENDER;1
CHASSECOEUR;EIN BÜRGER (3. AKT);1
CHASSECOEUR;JOUVE;1
CHASSECOEUR;EIN VORSTÄDTER;1
CHASSECOEUR;VORSTÄDTER;1
CHASSECOEUR;GÖTTIN DER VERNUNFT;1
CHASSECOEUR;EIN HAUPTMANN DER GENSD'ARMES;1
CHASSECOEUR;EIN ANKOMMENDER;1
CHASSECOEUR;EIN KRÄMER;1
CHASSECOEUR;FRAU DES KRÄMERS;1
CHASSECOEUR;EIN OFFIZIER;1
CHASSECOEUR;SERGEANT;1
CHASSECOEUR;EIN KAPITÄN DER VOLTIGEURS;1
CHASSECOEUR;ERSTER OFFIZIER;1
CHASSECOEUR;ZWEITER OFFIZIER;1
CHASSECOEUR;DRITTER OFFIZIER;1
CHASSECOEUR;EIN IN DER FERNE IN DIE SCHLACHTLINIE RÜCKENDES REGIMENT;1
