segment;change_rate
1;0.6
2;0.4
3;0.8333333333333334
4;0.6
5;0.6666666666666666
6;0.4
7;0.75
8;1.0
9;0.3333333333333333
10;1.0
11;0.5714285714285714
12;0.75
13;0.3333333333333333
14;1.0
15;0.75
16;0.6666666666666666
17;0.6666666666666666
18;0.6666666666666666
19;0.6666666666666666
20;0.3333333333333333
21;0.75
22;1.0
23;0.3333333333333333
24;0.5
25;0.3333333333333333
26;0.3333333333333333
27;0.5
28;1.0
29;0.75
30;0.3333333333333333
31;0.4
32;0.8333333333333334
33;0.0
34;0.5
35;0.8
36;0.6666666666666666
37;0.5
38;0.625
39;0.125
